LEMMA	FREQ
في	23
من	18
عنصرية	13
مساواة	13
عام	11
على	11
أمة	10
أمين	10
المتحده	10
تمييز	9
كراهية	7
أجنبي	6
إلى	6
عالم	6
عمل	6
قال	6
ما	6
آن	5
أن	5
ٱجتماعي	5
ٱقتصادي	5
الذي	5
ٱنعدام	4
إن	4
بين	4
تعزيز	4
شمول	4
ضرورة	4
عدالة	4
عنصري	4
غوتيريش	4
كل	4
هذا	4
آجل	3
أكثر	3
إدانة	3
إعادة	3
بعد	3
تصور	3
تنمية	3
خدمة	3
داخل	3
دعا	3
دولة	3
دون	3
ذلك	3
شكل	3
عدم	3
عقد	3
عنى	3
قضاء	3
كرامة	3
كم	3
متبادل	3
مجتمع	3
مستدام	3
هدف	3
أجندة	2
أضاف	2
أكرم	2
أنطونيو	2
أوج	2
أولويات	2
ٱحترام	2
ٱحتلال	2
ٱستثمار	2
ٱستعباد	2
ٱعتبار	2
إنساني	2
استدامه	2
الصحيه	2
العام	2
باكستاني	2
بناء	2
تصدي	2
تعليم	2
تماسك	2
تنامي	2
جائحة	2
جديد	2
جميع	2
حد	2
ذات	2
سفير	2
عضو	2
عن	2
فرد	2
فيما	2
قد	2
قرن	2
قيم	2
كان	2
كشف	2
كفالة	2
كلمة	2
كما	2
كوفيد	2
ل	2
مجلس	2
مجموعة	2
معالجة	2
مكان	2
مكن	2
نحو	2
نسبة	2
وشدد	2
وضع	2
آزم	1
آمن	1
أبيض	1
أداة	1
أشار	1
أصلة	1
أطلق	1
أفريقي	1
أفضل	1
أكبر	1
أم	1
أمانة	1
أمبير	1
أممي	1
أو	1
أوضح	1
أي	1
أيض	1
ٱحتاج	1
ٱختتم	1
ٱستطرد	1
ٱعتقاد	1
ٱنتقامي	1
ٱنتماء	1
ٱنحصر	1
إبرام	1
إبلاغ	1
إساءة	1
إستراتيجي	1
إطار	1
إنسان	1
اقرها	1
الاقليات	1
التعصب	1
التنوع	1
الحد	1
النظم	1
ايدلوجيه	1
ب	1
بتحيزاتنا	1
بدل	1
بشرية	1
بقوه	1
بكلة	1
بلد	1
بيئة	1
تأكيد	1
تتطلع	1
تحترم	1
تحديد	1
تحذير	1
تحفظ	1
تحقيق	1
تردد	1
تسامح	1
تضامن	1
تطوير	1
تعافي	1
تعاون	1
تعبير	1
تعدد	1
تعدي	1
تغيير	1
تفاقم	1
تفاهم	1
تفكيك	1
تفوق	1
تقدير	1
تلاشى	1
تمييزيه	1
تنوع	1
تنوير	1
تنويريه	1
تهديد	1
توظيف	1
توفير	1
ثقافة	1
ثقافي	1
جاء	1
جزء	1
جهد	1
جوهر	1
جيل	1
حارة	1
حالي	1
حدث	1
حصد	1
حصول	1
حق	1
حلول	1
حملة	1
حول	1
خارطة	1
خاصة	1
خبر	1
خرج	1
خطة	1
خلال	1
خوف	1
داخلي	1
دامغ	1
دخل	1
دعم	1
دعوة	1
دين	1
رئيس	1
راوند	1
رعاية	1
سامي	1
سبب	1
سبع	1
سبيل	1
سريع	1
سكن	1
سياسة	1
سياسي	1
شجعت	1
شدد	1
شعبويه	1
شعر	1
شفافية	1
صبح	1
صدمة	1
ضد	1
طريق	1
طعام	1
طويل	1
ظلم	1
عاشر	1
عالج	1
عامة	1
عبر	1
عدد	1
عرقيات	1
عشرة	1
عض	1
عنصر	1
غير	1
فائدة	1
فرصة	1
فرضيات	1
فعالية	1
فعل	1
قائد	1
قائل	1
قائم	1
قام	1
قصي	1
قلب	1
قوة	1
قول	1
قومية	1
قوى	1
كامن	1
كبير	1
كفل	1
للتحيز	1
للمهمشين	1
ليحل	1
مؤدى	1
مؤسسة	1
ماضي	1
مبتلى	1
متجذر	1
متحد	1
متساوي	1
مجال	1
مجرد	1
محاربة	1
محدودية	1
مختلف	1
مراقب	1
مرتبط	1
مرحلة	1
مساءلة	1
مسلم	1
مسيحي	1
مشاركة	1
مشترك	1
مشدد	1
مصدر	1
مع	1
معا	1
معاد	1
معاملة	1
معاناة	1
معتاد	1
معركة	1
مغالاة	1
مغزى	1
مقيت	1
منا	1
منحدر	1
منع	1
منهجي	1
منير	1
موجود	1
موعد	1
نازي	1
ناس	1
نشاط	1
نطاق	1
نظر	1
نظم	1
نقر	1
نموذج	1
نهوض	1
هناك	1
هو	1
هوية	1
واكد	1
والمتمثله	1
وتشرف	1
وجد	1
وحيد	1
وصف	1
وصول	1
وقع	1
وكالة	1
يتجسد	1
يتحدث	1
يتعين	1
يتم	1
يتمتعون	1
