LEMMA	FREQ
في	80
من	65
على	49
هذا	41
أسود	39
الذي	34
عنصرية	30
إلى	25
مجتمع	25
لا	24
أو	21
آن	20
يمن	20
عنصري	19
عمل	17
ذلك	16
ضد	16
وعي	16
لون	15
ما	14
ٱجتماعي	13
فئة	12
يمني	12
طبقة	11
ناشط	11
ثقافي	10
حيث	10
أن	9
تمييز	9
دور	9
شكل	9
عن	9
مختلف	9
مظهر	9
مواجهة	9
بعد	8
خلال	8
صورة	8
كان	8
مثل	8
هي	8
المهمشين	7
حتى	7
عض	7
غير	7
قبل	7
ممارسة	7
يتم	7
بشرة	6
تجاه	6
تهميش	6
ذات	6
قام	6
قد	6
كل	6
لكن	6
نمطي	6
وجود	6
آمر	5
أساسي	5
إذ	5
تم	5
جعل	5
حسب	5
داخل	5
رسمي	5
سعى	5
سلوك	5
سياسي	5
طبقي	5
طريق	5
عكس	5
علم	5
فان	5
كشف	5
ل	5
نظام	5
هم	5
هناك	5
هو	5
وجد	5
وجه	5
وسيلة	5
أخرى	4
أكثر	4
أنة	4
إنتاج	4
ب	4
تجسد	4
تعليم	4
ثقافة	4
حقيقي	4
حمل	4
حياة	4
دولة	4
شخصية	4
عدد	4
فردي	4
فعل	4
قانون	4
كثير	4
كما	4
ليس	4
مسلسل	4
منطقة	4
ناس	4
وصف	4
يتعرضون	4
آجل	3
آخر	3
أتى	3
أحد	3
أولى	3
أي	3
ٱندماج	3
التنمر	3
الممثلين	3
انهم	3
بدا	3
بقية	3
بلاك	3
بين	3
تجاوز	3
تراتبيه	3
ترسيخ	3
تعبير	3
تعريف	3
تقديم	3
تنظيف	3
تواصل	3
ثم	3
حديث	3
حقيق	3
حملة	3
خدمة	3
درامي	3
رد	3
زال	3
سبيل	3
سخرية	3
سيء	3
صبغ	3
ضمن	3
ظهر	3
عام	3
عبد	3
عرق	3
عزل	3
غالب	3
فيس	3
قائم	3
قضية	3
قول	3
قيم	3
مبادرة	3
مثال	3
مخاطر	3
مدينة	3
مرتبة	3
مستقبل	3
مشكلة	3
مع	3
مفهوم	3
مقاومة	3
مكان	3
مكن	3
نوع	3
واضح	3
ورق	3
وضع	3
وفق	3
آية	2
أداء	2
أدنى	2
أساس	2
أسمر	2
أسهم	2
أطلق	2
أقل	2
أيض	2
ٱتجاه	2
ٱحتقار	2
ٱختلف	2
ٱستكشاف	2
ٱستمرار	2
ٱعتبار	2
ٱعتقد	2
ٱفتقر	2
ٱقتصادي	2
ٱنتهاء	2
ٱنطلاق	2
إد	2
إشكالي	2
إضافة	2
إهانة	2
انساق	2
انها	2
بدء	2
برنامج	2
بعض	2
بل	2
تؤكد	2
تاريخ	2
تجسيد	2
تحقير	2
تحقيق	2
تراجع	2
تركيبة	2
تشكيل	2
تظل	2
تغييب	2
تقسيم	2
تلفاز	2
تلفزيوني	2
تمييزيه	2
ثاني	2
جامع	2
جانب	2
جريمة	2
جمعي	2
جميع	2
جنوب	2
جوهري	2
جيل	2
حاول	2
حصر	2
حق	2
حول	2
حين	2
خدم	2
خلفية	2
ديني	2
راسخ	2
رغم	2
رفض	2
سادة	2
سبب	2
سلبي	2
سلوكي	2
سيما	2
شعبي	2
شمال	2
صاحب	2
صعب	2
ظاهرة	2
ظهور	2
عائق	2
عاش	2
عبر	2
عرقي	2
عمد	2
عملية	2
عميق	2
عنى	2
فاعل	2
فكري	2
فني	2
قادر	2
قاذورة	2
قبلي	2
قدر	2
قصي	2
قوي	2
كلمة	2
كيان	2
كيف	2
لفظي	2
لولا	2
مؤخر	2
مارس	2
مباشر	2
متعمد	2
مجرم	2
محاولة	2
مدرسة	2
مدى	2
مرأة	2
مرة	2
مستوى	2
معيار	2
مقرى	2
مليون	2
ممنهجه	2
مهنة	2
موجه	2
نتيجة	2
نشاط	2
نفس	2
وقع	2
ولكنها	2
يؤدي	2
آدمي	1
أبرز	1
أبناء	1
أتباع	1
أثار	1
أثر	1
أحدث	1
أخير	1
أدبي	1
أدراك	1
أرض	1
أزال	1
أسد	1
أشار	1
أصبح	1
أصل	1
أضغط	1
أعلى	1
أكبر	1
أكل	1
أم	1
أهمية	1
أورد	1
أوسط	1
أول	1
أولائك	1
ٱتساع	1
ٱجتهد	1
ٱحتقر	1
ٱحتوى	1
ٱختلاط	1
ٱختلاف	1
ٱرتباط	1
ٱرتبط	1
ٱرتكاب	1
ٱرتكز	1
ٱستثناء	1
ٱستثنى	1
ٱستخدام	1
ٱستشهاد	1
ٱستعمال	1
ٱستكشف	1
ٱستند	1
ٱشتراكي	1
ٱشتغل	1
ٱشمئزاز	1
ٱصطلاح	1
ٱصطلح	1
ٱضطهاد	1
ٱغتصاب	1
ٱفترض	1
ٱمتاز	1
ٱمتداد	1
ٱمتلأ	1
ٱمتلاك	1
ٱمتياز	1
ٱمرأة	1
ٱنبنى	1
ٱنتهاك	1
ٱنحدر	1
ٱنزواء	1
ٱنطوى	1
ٱنعكس	1
ٱنقسام	1
إبقاء	1
إجرامي	1
إحصاء	1
إحضار	1
إداري	1
إذا	1
إرساء	1
إستراتيجي	1
إستراتيجية	1
إعلامي	1
إما	1
إمكانات	1
إنسان	1
إنكار	1
إيديولوجي	1
إيديولوجيا	1
إيصال	1
اعلاميات	1
الاقليه	1
الاول	1
التملك	1
الحمامات	1
السكانيه	1
الضعف	1
الفنانات	1
المتدني	1
المترسخه	1
المعقده	1
المهمشون	1
انيطت	1
باب	1
باحث	1
بالاخدام	1
بالمهمشين	1
باني	1
بتمردهم	1
بدل	1
بدوي	1
بروز	1
بساطة	1
بسيط	1
بشري	1
بعيد	1
بغض	1
بقاء	1
بقي	1
بنية	1
بيئة	1
تأكيد	1
تابع	1
تاريخي	1
تبع	1
تبين	1
تتجسد	1
تتضمنها	1
تتم	1
تجذير	1
تجلياته	1
تجمعات	1
تحت	1
تحريك	1
تحويل	1
تراخي	1
ترك	1
تزويج	1
تستر	1
تشريع	1
تشكيك	1
تصر	1
تصوير	1
تضارب	1
تعاقب	1
تعامل	1
تعرض	1
تعزيز	1
تعليمي	1
تعنيف	1
تغيير	1
تقدير	1
تقريب	1
تلفزيون	1
تلقي	1
تمرد	1
تمردهم	1
تمييزيا	1
تندر	1
تنفيذ	1
تنميط	1
تواطؤ	1
توصيف	1
توضيح	1
توطيد	1
ثالث	1
ثانية	1
ثلاث	1
ثورة	1
جاد	1
جادل	1
جاني	1
جدل	1
جديد	1
جزء	1
جزار	1
جسد	1
جسدي	1
جغرافي	1
جلود	1
جماعي	1
جمال	1
جمهور	1
جهاز	1
جهل	1
جيني	1
حاد	1
حارس	1
حاصل	1
حافة	1
حافظ	1
حال	1
حالي	1
حد	1
حدة	1
حرب	1
حرثان	1
حرم	1
حرمان	1
حساس	1
حصل	1
حضرموت	1
حضور	1
حكم	1
حل	1
حلاق	1
حلول	1
حماية	1
حمى	1
حينما	1
خادم	1
خارج	1
خاص	1
خاطئ	1
خاطب	1
خضوع	1
خطة	1
خلف	1
خلل	1
داكن	1
دخل	1
دراسة	1
دراما	1
درك	1
دقيق	1
دلالة	1
دليل	1
دوران	1
دون	1
دونيه	1
ديناميات	1
ذا	1
ذو	1
رؤى	1
رؤية	1
رائد	1
رافض	1
راوند	1
ربط	1
رجع	1
رجل	1
رسالة	1
رغبة	1
رقعة	1
ريا	1
زراع	1
زمان	1
زمني	1
زنج	1
زواج	1
زول	1
زيادة	1
سؤال	1
سائد	1
سابق	1
ساخر	1
ساعي	1
سب	1
سبل	1
سحنة	1
سعيد	1
سكاني	1
سلطة	1
سماح	1
سنة	1
سواء	1
سوداوات	1
سويد	1
سياسة	1
سياقات	1
سيطر	1
سيطرة	1
سينما	1
شأن	1
شائع	1
شارع	1
شاشة	1
شامل	1
شب	1
شرق	1
شريحة	1
شمس	1
شهد	1
شيخ	1
صال	1
صبي	1
صحي	1
صحيح	1
صرف	1
صريح	1
صفيح	1
صناعة	1
صنع	1
صوت	1
صومالي	1
ضحية	1
ضدهم	1
ضرب	1
ضعيف	1
طابع	1
طالب	1
طالما	1
طرف	1
طفل	1
ظلم	1
عائلة	1
عادي	1
عاقب	1
عالم	1
عامل	1
عدم	1
عرس	1
عرض	1
عرف	1
عقار	1
عقد	1
علي	1
عنف	1
عيب	1
عين	1
غجري	1
غني	1
غوص	1
فاصل	1
فانما	1
فانهم	1
فتح	1
فترة	1
فتستمر	1
فرد	1
فصل	1
فضل	1
فعلي	1
فقير	1
فن	1
فيلم	1
قاتل	1
قاسي	1
قاضي	1
قبض	1
قبيلة	1
قتل	1
قرصان	1
قرع	1
قرية	1
قصير	1
قف	1
قناة	1
قوة	1
قيام	1
كابتشينو	1
كاتب	1
كافي	1
كبير	1
كرست	1
كم	1
كي	1
كين	1
لاحظ	1
لحظة	1
لعب	1
لغة	1
لغوي	1
لفظ	1
لكنة	1
للتنمر	1
للميسورين	1
لم	1
لوند	1
ليؤدوا	1
مأسوي	1
مؤسسي	1
مئة	1
ماضي	1
مال	1
مبدأ	1
متجانس	1
متخيل	1
متراكم	1
متساوي	1
متمثل	1
متمرد	1
مثلت	1
مثيل	1
مجنى	1
محاوي	1
محدد	1
محفلي	1
محمد	1
محيط	1
مدرك	1
مدفوع	1
مدلول	1
مدني	1
مرتكب	1
مركز	1
مزود	1
مساح	1
مستحيل	1
مسكين	1
مشرع	1
مشهد	1
مصطلح	1
مصلحة	1
مطعم	1
معادي	1
معاناة	1
معتقد	1
معرفي	1
مقاطعة	1
مقبول	1
مقترح	1
مقدم	1
مقرف	1
مقززين	1
مكتوب	1
ملاحظة	1
ملاحقة	1
ملك	1
مما	1
مماثلة	1
ممنهج	1
مناهض	1
منبوذ	1
منزل	1
منزوي	1
منظور	1
مهم	1
مهمش	1
مهين	1
مواطنة	1
موجود	1
موزع	1
موضوع	1
ميت	1
ناصر	1
ناضج	1
ناقص	1
نال	1
نخب	1
نساء	1
نسب	1
نسمة	1
نص	1
نظر	1
نظرة	1
نفى	1
نقاء	1
نمط	1
نموذج	1
هامش	1
هدف	1
هرم	1
هل	1
هوية	1
هيئة	1
واجه	1
واحد	1
واسع	1
واقع	1
والتجمعات	1
والفنيه	1
وتؤكد	1
وتتجلي	1
وتجمعات	1
وحركوا	1
وراء	1
وسخ	1
وسع	1
وصول	1
وضح	1
وضوح	1
وضيع	1
وطني	1
وظيفة	1
وقت	1
ولادة	1
ولي	1
ومسبباتها	1
وهمي	1
ويتضح	1
ويتم	1
ويسميهم	1
ويطلق	1
ويمارس	1
ويميزهم	1
يؤدون	1
يؤكد	1
يبين	1
يتحول	1
يتسبب	1
يتشكل	1
يتعرض	1
يتعلق	1
يتميز	1
يتميزون	1
يحدد	1
يدل	1
يركز	1
يسهل	1
يشكل	1
يضر	1
