LEMMA	FREQ
في	54
هذا	52
من	51
على	44
أسود	35
عن	27
الذي	23
عربي	22
إلى	20
أو	17
أن	15
لا	15
بين	14
صورة	14
كان	13
لم	13
آخر	12
آن	12
تمثيل	12
ثقافة	12
ما	12
نص	12
أي	11
هو	11
إقليم	10
حديث	10
ل	10
حيث	9
خلق	9
دين	9
متخيل	9
أنة	8
ٱبن	8
إنسان	8
حيوان	8
زنج	8
استفراق	7
ذلك	7
سودان	7
قال	7
قد	7
كل	7
ليس	7
مع	7
نمطي	7
هي	7
أفريقي	6
شمس	6
قبل	6
قرن	6
كتاب	6
كتابة	6
مرجعية	6
أصبح	5
بهيمة	5
تقليد	5
حيونه	5
خاطب	5
دمشقي	5
سبع	5
غير	5
هل	5
وجد	5
وصف	5
آلف	4
آمر	4
أبي	4
أحد	4
أرض	4
أم	4
بل	4
تاريخ	4
حكم	4
حين	4
خرج	4
دون	4
سواد	4
شيء	4
عنصرية	4
فضل	4
كوني	4
معرفة	4
موضوع	4
موقد	4
موقف	4
نظرة	4
وثيقة	4
أخلاقي	3
أراد	3
أول	3
ٱختلف	3
ٱرفض	3
ٱستشراق	3
ٱطراد	3
ٱنسحب	3
إذا	3
إن	3
بربري	3
بن	3
تآليف	3
تجاه	3
تراث	3
تعبير	3
تعرض	3
تفضيل	3
تقدم	3
تكون	3
تواتر	3
توحش	3
ثامن	3
جاد	3
جغرافي	3
حتى	3
حضارة	3
حول	3
خط	3
ذات	3
رابطة	3
راوند	3
زمن	3
سابع	3
شخصي	3
شديد	3
شعر	3
ضد	3
طبيعة	3
طبيعي	3
عباس	3
عرب	3
عصر	3
عض	3
عقل	3
علاقة	3
فان	3
فهم	3
قاعدة	3
قانون	3
قوة	3
كثير	3
كما	3
كن	3
لغة	3
مثل	3
مجال	3
مدى	3
مطبوخ	3
نادر	3
ناضج	3
نظام	3
نظر	3
نظرية	3
نفس	3
نيء	3
هنا	3
هناك	3
هيغل	3
وحش	3
أصلة	2
ألم	2
أمام	2
أنا	2
أنت	2
أولى	2
ٱحتاج	2
ٱحترام	2
ٱستحضر	2
ٱعتدال	2
ٱفتقر	2
ٱقتصاد	2
ٱلتزام	2
ٱمتياز	2
ٱنحراف	2
إرث	2
إسلام	2
إلهي	2
إما	2
المتخيل	2
ب	2
بالغ	2
باني	2
بدأ	2
بشر	2
بطليموسي	2
بيضان	2
تاريخي	2
تعرف	2
تعلم	2
تفكيك	2
تقبل	2
تقريب	2
تم	2
تناول	2
توراة	2
توراتيه	2
توزيع	2
ثالث	2
ثقافي	2
جاء	2
جماعي	2
حجم	2
حد	2
حرارة	2
حق	2
حلت	2
حي	2
حيوانية	2
خاصة	2
خامس	2
خروج	2
خلال	2
د	2
درجة	2
رابع	2
رجل	2
زواج	2
سؤال	2
سادس	2
سبيل	2
سخرية	2
سلبي	2
سياقات	2
سيوطي	2
شأن	2
شر	2
شريعة	2
شمال	2
صار	2
صالح	2
ضحية	2
طبخ	2
طريقة	2
طعام	2
عجز	2
عداد	2
عدم	2
عرض	2
عرف	2
عند	2
عنصري	2
عنى	2
فقط	2
قادر	2
قرد	2
قريب	2
قرينة	2
قسم	2
قول	2
كتب	2
كلاب	2
كم	2
كونت	2
لاق	2
لدى	2
لعنة	2
متباين	2
متماسك	2
مثلث	2
مجازاة	2
مجموع	2
محاضرة	2
محترق	2
محترقه	2
مختلف	2
مخلوق	2
مرجعي	2
مزاج	2
مساواة	2
معتدل	2
منحرف	2
منذ	2
نار	2
ناشئ	2
نتيجة	2
نسوي	2
نوح	2
ه	2
هائل	2
هجري	2
هم	2
هوس	2
وحيد	2
وراء	2
ورد	2
وسطي	2
وسيط	2
وقت	2
وقع	2
يتعرض	2
يوم	2
آجل	1
آدم	1
آل	1
آنك	1
آيا	1
آية	1
أبد	1
أبو	1
أتى	1
أثر	1
أجدى	1
أخرى	1
أخير	1
أرشيف	1
أساس	1
أسد	1
أسلوب	1
أشبه	1
أشد	1
أصلي	1
أفريقيا	1
أفضل	1
أقنعة	1
أكبر	1
أكثر	1
أمانة	1
أمير	1
أنثروبولوجي	1
أوربي	1
أين	1
ٱبنة	1
ٱحتراق	1
ٱحتفظ	1
ٱختلاف	1
ٱرتياح	1
ٱستثناء	1
ٱستثنائي	1
ٱستخدم	1
ٱستدرك	1
ٱستطاع	1
ٱستعارة	1
ٱستعانة	1
ٱستعباد	1
ٱستفاضة	1
ٱستقامة	1
ٱستكثر	1
ٱستمرار	1
ٱستواء	1
ٱستوقف	1
ٱسم	1
ٱسمي	1
ٱعتاش	1
ٱعترض	1
ٱفتقار	1
ٱقتباس	1
ٱقتبس	1
ٱكتسب	1
ٱمتلك	1
ٱنتباه	1
ٱنتشار	1
ٱنتشر	1
ٱنتقد	1
ٱنتقل	1
ٱنتهى	1
ٱنطوى	1
ٱنعدام	1
ٱهتمام	1
إجماع	1
إذن	1
إسرائيلي	1
إسلامي	1
إشاعة	1
إغريقي	1
إفرنجي	1
إلا	1
إنتاج	1
إنسانية	1
إنما	1
ئن	1
ابشيهي	1
اتدخل	1
اتهم	1
اثرت	1
ازرقي	1
اسست	1
اعراق	1
التحيزات	1
الصقالبه	1
الله	1
المتكرره	1
المتنوعه	1
المتوحشه	1
المختله	1
المقفع	1
انتقاصيه	1
انما	1
انها	1
باستا	1
بالاستفراق	1
بالتصور	1
بحر	1
بحريني	1
بديهي	1
بديهية	1
بر	1
بريء	1
بشرة	1
بطوطه	1
بعث	1
بعد	1
بعض	1
بعيد	1
بقية	1
بكلة	1
بلد	1
بلغار	1
بني	1
بنيامين	1
بهيمي	1
بيتزا	1
بيض	1
بيهقي	1
تأثير	1
تأكيد	1
تأنيب	1
تؤثر	1
تاجر	1
تبرير	1
تتحدث	1
تتحكم	1
تتسبب	1
تتسم	1
تتميز	1
تتوزع	1
تتوهمين	1
تجاهه	1
تحيز	1
تخصص	1
تخلف	1
تخيل	1
تدريب	1
تدمير	1
تسربت	1
تشكل	1
تشوه	1
تصوير	1
تطور	1
تعامل	1
تعبر	1
تغير	1
تفسير	1
تفوق	1
تقدير	1
تقديم	1
تقيد	1
تكونت	1
تكوني	1
تكوين	1
تمام	1
تمتد	1
تمثل	1
تمسه	1
تمكين	1
تناسل	1
تناقض	1
تنمط	1
تنميط	1
تهكم	1
توحيدي	1
توسع	1
ثابت	1
ثاني	1
ثراء	1
ثلاث	1
ثم	1
ثوب	1
جاحظ	1
جامد	1
جاه	1
جاهل	1
جبير	1
جد	1
جريان	1
جلال	1
جمع	1
جنس	1
جنوب	1
جنون	1
جهل	1
جورج	1
جوهر	1
جوهري	1
حالة	1
حام	1
حامي	1
حاول	1
حدث	1
حساب	1
حسب	1
حصل	1
حصول	1
حكاية	1
حوقل	1
خارج	1
خالف	1
خزان	1
خطأ	1
خلاصة	1
خلدون	1
خلف	1
خلقة	1
خمس	1
خيانة	1
خير	1
دام	1
درس	1
دعوة	1
دكتور	1
دليل	1
دهر	1
دونيه	1
ذا	1
ذرية	1
ذكر	1
ذهب	1
ذهن	1
ذوات	1
ذيوع	1
رأس	1
رؤية	1
راسخ	1
رجع	1
رسالة	1
رسته	1
رسم	1
رسول	1
رصد	1
رغبة	1
رفض	1
رق	1
رقيق	1
رهبة	1
روم	1
زال	1
زجاج	1
زكريا	1
زنجي	1
زيد	1
ساذكركم	1
سجية	1
سخف	1
سخيف	1
سلطة	1
سليمان	1
سماع	1
سمة	1
سمح	1
سمي	1
سوى	1
سيرافي	1
شائع	1
شاسع	1
شاعر	1
شتراوس	1
شخصية	1
شرق	1
شعور	1
شكل	1
شمسي	1
شهواني	1
صاغ	1
صافي	1
صحراء	1
صدر	1
صقلبي	1
صلة	1
صيانة	1
صين	1
ضابط	1
ضبط	1
ضخامة	1
ضخم	1
ضدين	1
ضرب	1
ضروب	1
ضمير	1
طائفة	1
طالب	1
طبري	1
طبع	1
طبعة	1
طبيب	1
طرب	1
طرف	1
طلق	1
طوسي	1
طول	1
ظاهرة	1
ظلم	1
ظهر	1
عاتي	1
عاجز	1
عاري	1
عاطفة	1
عاقبة	1
عالم	1
عام	1
عبودي	1
عجب	1
عجيبة	1
عرق	1
عريض	1
عشرة	1
عشرون	1
عقلي	1
عمل	1
عندم	1
عنف	1
عنوان	1
غدر	1
غرائزهم	1
غرب	1
غريزة	1
فاتحون	1
فاصل	1
فاصلة	1
فرس	1
فساد	1
فسوق	1
فصل	1
فعل	1
فقيه	1
فكر	1
فلسفي	1
فوكو	1
فيما	1
قارن	1
قاصر	1
قامة	1
قاوم	1
قبح	1
قبول	1
قدم	1
قديم	1
قرآن	1
قراب	1
قزويني	1
قسوة	1
قصاص	1
قصص	1
قصور	1
قصي	1
قف	1
قلقشندي	1
قناعة	1
قيم	1
قيمي	1
كأن	1
كائن	1
كاتب	1
كاد	1
كاظم	1
كافي	1
كامل	1
كبير	1
كثر	1
كلامي	1
كنية	1
كولونيالي	1
كون	1
لاإنساني	1
لامعرفه	1
لانه	1
لباس	1
لبس	1
لغوي	1
لكن	1
لكنة	1
لو	1
لون	1
ليفي	1
مؤرخ	1
مؤسسة	1
مؤلف	1
ماجوج	1
مادي	1
مبدأ	1
متساوي	1
متشيئه	1
متعفن	1
متعلم	1
متكرر	1
متواتر	1
متواطئه	1
متوحش	1
مثال	1
مجازي	1
محاضر	1
محاولة	1
محترقا	1
محدث	1
محض	1
محمد	1
محموم	1
مدون	1
مرء	1
مرأة	1
مرزبان	1
مرور	1
مزعوم	1
مساءلة	1
مساح	1
مستحيل	1
مستعمر	1
مستمع	1
مستهلك	1
مسعودي	1
مسكون	1
مسلم	1
مشى	1
مشين	1
مطبخي	1
مطلع	1
مطلق	1
معرفي	1
معروف	1
معظم	1
معمور	1
معنى	1
معين	1
مفاخرة	1
مفروض	1
مفهوم	1
مقدسي	1
مقصد	1
مكتسب	1
مكتوب	1
مكن	1
ملاح	1
ملاحظة	1
ملامسة	1
ملتهب	1
ملوث	1
مميز	1
مميزة	1
منتن	1
منجم	1
مهين	1
مواجهة	1
موجود	1
ميشيل	1
ميلادي	1
ناموس	1
نبي	1
نتجرد	1
نجاح	1
نحو	1
نخبة	1
نديم	1
نزعة	1
نسبة	1
نسميه	1
نصير	1
نضج	1
نظير	1
نفسي	1
نقي	1
نقيض	1
نموذج	1
نموذجي	1
نهي	1
نويري	1
ني	1
هائم	1
هكذا	1
همج	1
همجية	1
هند	1
هيئة	1
وافق	1
والتحضر	1
والتر	1
وتوزع	1
وجود	1
وعي	1
وفاء	1
وكن	1
ويترفع	1
يؤكد	1
ياجوج	1
يتاسس	1
يتحدث	1
يتضح	1
يتعمد	1
يتفقون	1
يتم	1
يخل	1
يد	1
يستحق	1
يعرض	1
يفضل	1
يميز	1
