LEMMA	FREQ
في	50
من	50
على	47
لا	27
أن	24
عنصرية	21
الله	20
آن	18
ناس	17
إسلام	16
قال	16
مجتمع	14
قد	13
الذي	11
لم	11
واحد	11
إلى	10
ما	10
أو	9
حق	9
عن	9
كان	9
هذا	9
هو	9
يا	9
إنسان	8
عالم	8
عربي	8
نبي	8
سلم	7
كما	7
مسلم	7
أسود	6
إلا	6
بين	6
سلام	6
صلي	6
عصر	6
عنصري	6
قضاء	6
قوم	6
كل	6
ل	6
أرض	5
ايها	5
تعالى	5
تمييز	5
جاب	5
خطة	5
رب	5
عانى	5
لون	5
هي	5
أب	4
أول	4
ٱبن	4
إن	4
بن	4
بنت	4
تغيير	4
حجرة	4
خلال	4
خلق	4
ذلك	4
زيد	4
سبب	4
شكل	4
صلاة	4
عاش	4
عالج	4
عبد	4
عصبية	4
غربي	4
فضل	4
كثير	4
كيف	4
ليس	4
نحن	4
نظرة	4
نفس	4
وضع	4
ولا	4
يوم	4
آخر	3
آدم	3
أحمر	3
أخوة	3
أعجمي	3
أعلن	3
أكرم	3
أنا	3
أنة	3
أيض	3
ٱختلاف	3
إنساني	3
بل	3
تزوج	3
تقوى	3
ثم	3
جاء	3
جديد	3
جعل	3
حديث	3
دعا	3
ذكر	3
سورة	3
صاحب	3
صحابة	3
عام	3
عتيق	3
عرف	3
عض	3
فقط	3
قبيلة	3
كرامة	3
لغة	3
لكن	3
مختلف	3
نزل	3
نساء	3
نسب	3
نظام	3
نفسي	3
هل	3
أبرز	2
أتقى	2
أجمع	2
أحد	2
أخ	2
أساس	2
أسامة	2
أسد	2
أم	2
أنثى	2
أي	2
ٱرفض	2
ٱعتداء	2
ٱكتفى	2
إسلامي	2
إله	2
إنسانية	2
اعبدوا	2
ب	2
بعث	2
بعد	2
بلال	2
بناء	2
بنى	2
بيع	2
تاره	2
تاريخ	2
تجاهل	2
تجاوز	2
تشريع	2
تعدي	2
جامع	2
جحش	2
جل	2
جيش	2
حتى	2
حفظ	2
حمد	2
حين	2
خدع	2
خلقناكم	2
خير	2
دخل	2
دعوة	2
دين	2
ربما	2
رضي	2
رعاية	2
رقيق	2
زال	2
زوج	2
زينب	2
ستار	2
سدل	2
شأن	2
شعب	2
شك	2
صان	2
ﷺ	2
ضعيف	2
ظهر	2
عالمي	2
عديد	2
عرب	2
عرق	2
عسى	2
عشرون	2
عمل	2
عملي	2
عند	2
عنف	2
غرب	2
غير	2
غيرة	2
فترة	2
فتك	2
فكري	2
قام	2
قبل	2
قدم	2
قرآن	2
قرن	2
قلب	2
كراهية	2
لتعارفوا	2
لسان	2
لكم	2
له	2
مثل	2
مدينة	2
مرأة	2
مسألة	2
مساواة	2
مصدر	2
مظهر	2
مع	2
معاملة	2
مكان	2
ملعب	2
منزل	2
منع	2
موقف	2
مولى	2
نبذ	2
هدف	2
هود	2
والي	2
وباء	2
وثيقة	2
وجعلناكم	2
ورد	2
يمين	2
آباء	1
آجل	1
آخذ	1
آسف	1
آفة	1
آفل	1
آل	1
آلي	1
آلية	1
آمر	1
آمن	1
أبناء	1
أبو	1
أبى	1
أبيض	1
أحمد	1
أحوج	1
أخت	1
أخرى	1
أخير	1
أدنى	1
أذكر	1
أذهب	1
أراد	1
أرسى	1
أرفع	1
أروع	1
أزال	1
أسدي	1
أسوأ	1
أشد	1
أصبح	1
أصلة	1
أعجم	1
أفاد	1
أفريقيا	1
أفشل	1
أقدم	1
أقنعة	1
ألف	1
ألم	1
أمام	1
أمة	1
أمر	1
أمريكا	1
أمريكي	1
أمس	1
أمني	1
أنعام	1
أهم	1
أوجب	1
أوربي	1
أوصى	1
أولائك	1
أيها	1
ٱتهام	1
ٱختار	1
ٱستعباد	1
ٱستفادة	1
ٱسم	1
ٱضطهاد	1
ٱطرح	1
ٱعتاق	1
ٱعتبار	1
ٱعترف	1
ٱعتنى	1
ٱفتتح	1
ٱنبغى	1
ٱنتقد	1
ٱنتماء	1
ٱنحدر	1
ٱنخدع	1
إخوة	1
إذا	1
إرشاد	1
إطار	1
إفراز	1
إقرار	1
إما	1
إنجاز	1
إنما	1
احلك	1
ادت	1
اراك	1
اعوذ	1
التنوع	1
الرق	1
الظالمون	1
المتعصبه	1
المنوره	1
امنوا	1
انزلنا	1
انشاكم	1
بئس	1
باب	1
بان	1
بدأ	1
بذل	1
براءة	1
بشر	1
بشرة	1
بشري	1
بشرية	1
بطولة	1
بعثة	1
بلا	1
بلالا	1
بما	1
بني	1
بينت	1
بيهقي	1
بيوت	1
