fileName	TOKEN	TOKEN_VOC	POS	LEMMA	LEMMA_VOC
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	خلاصة	خُلاصَةُ	noun	خلاصة	خُلاصَة
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	محاضرة	مُحاضَرَةٍ	noun	محاضرة	مُحاضَرَة
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	:	:	punc	:	:
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	تفكيك	تَفْكِيكُ	noun	تفكيك	تَفْكِيك
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	الاستفراق	الاستفراق	noun_prop	استفراق	استفراق
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	:	:	punc	:	:
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	صورة	صُورَةُ	noun	صورة	صُورَة
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	السود	السُودِ	noun	أسود	أَسْوَد
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	في	فِي	prep	في	فِي
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	المتخيل	المُتَخَيَّل	adj	متخيل	مُتَخَيَّل
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	العرب	العَرَبِ	noun	عرب	عَرَب
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	د	د	abbrev	د	د
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	.	.	punc	.	.
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	نادر	نادِر	adj	نادر	نادِر
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	كاظم	كاظِم	noun_prop	كاظم	كاظِم
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	]	]	punc	]	]
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	د	د	abbrev	د	د
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	.	.	punc	.	.
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	أمير	أَمِير	noun_prop	أمير	أَمِير
06_Nader_Kadhim_Vortrag_Abstract_NEU.docx.txt	الازرقي	الازرقي	noun_prop	ازرقي	ازرقي
